Date,Product_Name,Match_Type,Impressions,Clicks,Spend,Sales,Orders,Current_Bid,Actual_CPC,Suggested_Bid_Min,Suggested_Bid_Max,ACOS_Current,Target_ACOS_Goal,Conversion_Rate,CTR,Competitor_Price,Inventory_Level,Day_Type,Optimal_Bid,My_Rating,Comp_Rating,Comp_Review_Count,Price_Gap,Rating_Gap
2026-01-01,Curcumin C3,Broad,4844,82,1629.34,2844,3,21.0,19.87,13.91,29.8,57.29,20.0,0.0482,0.0171,950,114,Weekday,13.91,4.5,4.6,2489,-2,-0.09999999999999964
2026-01-01,Fruit Drink,Exact,4075,100,3967.0,1776,3,43.73,39.67,27.77,59.51,223.37,20.0,0.0361,0.0246,573,197,Weekday,27.77,4.0,4.6,2261,19,-0.5999999999999996
2026-01-01,Fruit Drink,Phrase,3716,58,1733.04,1184,2,32.99,29.88,20.92,44.82,146.37,20.0,0.044,0.0158,552,253,Weekday,20.92,4.0,4.1,3983,40,-0.09999999999999964
2026-01-01,Fruit Drink,Broad,3901,45,808.65,1184,2,24.8,17.97,12.58,26.95,68.3,20.0,0.0633,0.0118,625,92,Weekday,12.58,4.0,3.5,1792,-33,0.5
2026-01-02,Aloe vera juice,Exact,3437,56,883.12,914,2,21.4,15.77,11.04,23.66,96.62,20.0,0.0452,0.0164,409,28,Weekday,11.04,3.8,3.8,3649,48,0.0
2026-01-02,Aloe vera juice,Phrase,3666,79,2053.21,1371,3,35.64,25.99,18.19,38.98,149.76,20.0,0.049,0.0217,407,70,Weekday,18.19,3.8,3.6,3191,50,0.19999999999999973
2026-01-02,Aloe vera juice,Broad,1364,11,284.46,0,0,29.59,25.86,18.1,38.79,0.0,20.0,0.0509,0.0082,466,26,Weekday,18.1,3.8,3.8,2089,-9,0.0
2026-01-02,Graviola,Exact,3398,35,482.3,599,1,15.85,13.78,9.65,20.67,80.52,20.0,0.0532,0.0105,551,248,Weekday,9.65,4.0,3.6,1945,48,0.3999999999999999
2026-01-02,Graviola,Phrase,3968,57,1487.7,1797,3,33.24,26.1,18.27,39.15,82.79,20.0,0.0561,0.0144,580,159,Weekday,18.27,4.0,3.6,2744,19,0.3999999999999999
2026-01-02,Graviola,Broad,2122,42,1198.68,1198,2,34.43,28.54,19.98,42.81,100.06,20.0,0.0583,0.0201,642,41,Weekday,19.98,4.0,3.8,4055,-43,0.20000000000000018
2026-01-02,Eco ensulin,Exact,4409,76,1950.92,7212,6,27.58,25.67,17.97,38.51,27.05,20.0,0.0858,0.0173,1200,43,Weekday,20.63,4.2,3.9,3464,2,0.30000000000000027
2026-01-02,Eco ensulin,Phrase,1507,26,954.2,1202,1,42.86,36.7,25.69,55.05,79.38,20.0,0.0702,0.0176,1204,45,Weekday,25.69,4.2,4.7,722,-2,-0.5
2026-01-02,Eco ensulin,Broad,2995,42,656.46,3606,3,18.11,15.63,10.94,23.45,18.2,20.0,0.0768,0.0143,1210,191,Weekday,18.46,4.2,4.4,928,-8,-0.20000000000000018
2026-01-02,Curcumin C3,Exact,4331,30,786.3,954,1,29.53,26.21,18.35,39.31,82.42,20.0,0.047,0.0071,944,164,Weekday,18.35,4.5,4.6,3735,10,-0.09999999999999964
2026-01-02,Curcumin C3,Phrase,4369,34,1157.02,1908,2,40.21,34.03,23.82,51.05,60.64,20.0,0.0702,0.0079,996,24,Weekday,23.82,4.5,3.7,1288,-42,0.7999999999999998
2026-01-02,Curcumin C3,Broad,1487,10,301.4,0,0,34.49,30.14,21.1,45.21,0.0,20.0,0.0679,0.0074,953,172,Weekday,21.1,4.5,3.6,3014,1,0.8999999999999999
2026-01-02,Fruit Drink,Exact,1240,27,854.82,608,1,44.26,31.66,22.16,47.49,140.6,20.0,0.0491,0.0218,579,195,Weekday,22.16,4.0,3.9,1148,29,0.10000000000000009
2026-01-02,Fruit Drink,Phrase,2651,29,1194.51,608,1,44.71,41.19,28.83,61.78,196.47,20.0,0.0633,0.0111,641,177,Weekday,28.83,4.0,3.5,2961,-33,0.5
2026-01-02,Fruit Drink,Broad,4130,38,1064.0,1216,2,32.46,28.0,19.6,42.0,87.5,20.0,0.0605,0.0092,653,149,Weekday,19.6,4.0,3.7,2036,-45,0.2999999999999998
2026-01-03,Aloe vera juice,Exact,3129,39,492.18,444,1,15.42,12.62,8.83,18.93,110.85,20.0,0.0469,0.0125,473,42,Weekend,8.83,3.8,4.1,3038,-29,-0.2999999999999998
2026-01-03,Aloe vera juice,Phrase,3703,31,452.91,444,1,20.82,14.61,10.23,21.91,102.01,20.0,0.033,0.0084,454,106,Weekend,10.23,3.8,4.7,2128,-10,-0.9000000000000004
2026-01-03,Aloe vera juice,Broad,5420,68,1473.56,888,2,24.3,21.67,15.17,32.51,165.94,20.0,0.0314,0.0126,418,128,Weekend,15.17,3.8,4.6,4991,26,-0.7999999999999998
2026-01-03,Graviola,Exact,1942,19,591.09,595,1,40.93,31.11,21.78,46.66,99.34,20.0,0.0589,0.0098,584,94,Weekend,21.78,4.0,3.5,858,11,0.5
2026-01-03,Graviola,Phrase,3861,38,902.5,595,1,32.78,23.75,16.62,35.62,151.68,20.0,0.0466,0.0099,581,104,Weekend,16.62,4.0,4.1,1098,14,-0.09999999999999964
2026-01-03,Graviola,Broad,2744,66,2167.44,1785,3,39.2,32.84,22.99,49.26,121.43,20.0,0.0462,0.0243,617,238,Weekend,22.99,4.0,4.3,1197,-22,-0.2999999999999998
2026-01-03,Eco ensulin,Exact,5481,68,2246.72,4832,4,39.34,33.04,23.13,49.56,46.5,20.0,0.0715,0.0125,1183,296,Weekend,23.13,4.2,4.5,2327,25,-0.2999999999999998
2026-01-03,Eco ensulin,Phrase,3720,36,574.92,3624,3,19.88,15.97,11.18,23.96,15.86,20.0,0.095,0.0098,1238,278,Weekend,22.95,4.2,3.6,2032,-30,0.6000000000000001
2026-01-03,Eco ensulin,Broad,5997,77,1721.72,7248,6,26.18,22.36,15.65,33.54,23.75,20.0,0.0816,0.0129,1164,101,Weekend,19.71,4.2,3.9,4539,44,0.30000000000000027
2026-01-03,Curcumin C3,Exact,3278,53,1588.41,1908,2,41.86,29.97,20.98,44.95,83.25,20.0,0.0503,0.0164,957,244,Weekend,20.98,4.5,4.5,4635,-3,0.0
2026-01-03,Curcumin C3,Phrase,4691,56,1795.92,2862,3,37.04,32.07,22.45,48.11,62.75,20.0,0.0605,0.0121,979,123,Weekend,22.45,4.5,4.1,4175,-25,0.40000000000000036
2026-01-03,Curcumin C3,Broad,3637,48,953.76,1908,2,24.21,19.87,13.91,29.8,49.99,20.0,0.044,0.0133,954,85,Weekend,13.91,4.5,4.8,4811,0,-0.2999999999999998
2026-01-03,Fruit Drink,Exact,5039,73,1727.91,2416,4,26.7,23.67,16.57,35.51,71.52,20.0,0.0575,0.0146,579,294,Weekend,16.57,4.0,3.5,490,25,0.5
2026-01-03,Fruit Drink,Phrase,3323,75,1317.75,1208,2,19.73,17.57,12.3,26.36,109.09,20.0,0.0354,0.0228,618,173,Weekend,12.3,4.0,4.8,506,-14,-0.7999999999999998
2026-01-03,Fruit Drink,Broad,4050,54,1281.42,604,1,27.58,23.73,16.61,35.59,212.16,20.0,0.0348,0.0135,612,187,Weekend,16.61,4.0,4.8,1853,-8,-0.7999999999999998
2026-01-04,Aloe vera juice,Exact,4136,49,779.59,904,2,21.09,15.91,11.14,23.87,86.24,20.0,0.0442,0.012,494,53,Weekend,11.14,3.8,4.3,256,-42,-0.5
2026-01-04,Aloe vera juice,Phrase,5689,127,3313.43,2260,5,29.13,26.09,18.26,39.13,146.61,20.0,0.0423,0.0223,435,184,Weekend,18.26,3.8,4.1,766,17,-0.2999999999999998
2026-01-04,Aloe vera juice,Broad,2755,23,330.97,0,0,17.29,14.39,10.07,21.59,0.0,20.0,0.0374,0.0086,466,257,Weekend,10.07,3.8,4.5,1633,-14,-0.7000000000000002
2026-01-04,Graviola,Exact,5219,78,1749.54,1785,3,29.6,22.43,15.7,33.64,98.01,20.0,0.0389,0.0151,584,106,Weekend,15.7,4.0,4.5,3066,11,-0.5
2026-01-04,Graviola,Phrase,2169,13,157.04,0,0,15.34,12.08,8.46,18.12,0.0,20.0,0.0527,0.0063,562,270,Weekend,8.46,4.0,3.7,887,33,0.2999999999999998
2026-01-04,Graviola,Broad,5794,93,2085.99,2380,4,30.12,22.43,15.7,33.64,87.65,20.0,0.0439,0.0162,554,115,Weekend,15.7,4.0,4.1,315,41,-0.09999999999999964
2026-01-04,Eco ensulin,Exact,5295,80,2472.8,7176,6,43.36,30.91,21.64,46.37,34.46,20.0,0.0765,0.0151,1161,166,Weekend,21.64,4.2,4.2,1166,35,0.0
2026-01-04,Eco ensulin,Phrase,3092,23,582.59,1196,1,32.46,25.33,17.73,37.99,48.71,20.0,0.0825,0.0075,1241,78,Weekend,19.73,4.2,4.3,2806,-45,-0.09999999999999964
2026-01-04,Eco ensulin,Broad,4400,42,1578.36,3588,3,42.6,37.58,26.31,56.37,43.99,20.0,0.0779,0.0096,1195,107,Weekend,26.31,4.2,4.3,3966,1,-0.09999999999999964
2026-01-04,Curcumin C3,Exact,5238,62,1295.18,2862,3,27.14,20.89,14.62,31.34,45.25,20.0,0.054,0.012,974,212,Weekend,14.62,4.5,4.4,3808,-20,0.09999999999999964
2026-01-04,Curcumin C3,Phrase,1830,18,307.62,954,1,19.23,17.09,11.96,25.63,32.25,20.0,0.0585,0.0101,999,202,Weekend,11.96,4.5,4.3,1534,-45,0.20000000000000018
2026-01-04,Curcumin C3,Broad,5067,77,1061.83,3816,4,17.84,13.79,9.65,20.68,27.83,20.0,0.0578,0.0153,952,29,Weekend,11.03,4.5,4.1,2405,2,0.40000000000000036
2026-01-04,Fruit Drink,Exact,2885,46,1590.22,604,1,39.14,34.57,24.2,51.86,263.28,20.0,0.0375,0.0161,639,171,Weekend,24.2,4.0,4.8,2413,-35,-0.7999999999999998
2026-01-04,Fruit Drink,Phrase,4810,97,1511.26,1812,3,19.03,15.58,10.91,23.37,83.4,20.0,0.0337,0.0203,581,15,Weekend,10.91,4.0,4.7,984,23,-0.7000000000000002
2026-01-04,Fruit Drink,Broad,4140,40,760.0,604,1,21.02,19.0,13.3,28.5,125.83,20.0,0.0452,0.0099,636,283,Weekend,13.3,4.0,4.4,783,-32,-0.40000000000000036
2026-01-05,Aloe vera juice,Exact,3342,32,1004.16,442,1,41.16,31.38,21.97,47.07,227.19,20.0,0.0381,0.0096,483,96,Weekday,21.97,3.8,4.6,3581,-41,-0.7999999999999998
2026-01-05,Aloe vera juice,Phrase,3045,72,2712.24,442,1,43.24,37.67,26.37,56.51,613.63,20.0,0.0264,0.0237,406,226,Weekday,26.37,3.8,4.8,580,36,-1.0
2026-01-05,Aloe vera juice,Broad,2483,14,322.84,0,0,25.27,23.06,16.14,34.59,0.0,20.0,0.0483,0.006,445,18,Weekday,16.14,3.8,3.9,4938,-3,-0.10000000000000009
2026-01-05,Graviola,Exact,4126,31,944.88,601,1,38.33,30.48,21.34,45.72,157.22,20.0,0.0394,0.0076,635,197,Weekday,21.34,4.0,4.7,136,-34,-0.7000000000000002
2026-01-05,Graviola,Phrase,1225,26,385.84,601,1,17.97,14.84,10.39,22.26,64.2,20.0,0.0454,0.0217,575,163,Weekday,10.39,4.0,4.1,2180,26,-0.09999999999999964
2026-01-05,Graviola,Broad,2431,52,807.04,601,1,17.69,15.52,10.86,23.28,134.28,20.0,0.0349,0.0215,590,33,Weekday,10.86,4.0,4.7,404,11,-0.7000000000000002
2026-01-05,Eco ensulin,Exact,2940,63,1508.22,6030,5,28.28,23.94,16.76,35.91,25.01,20.0,0.0812,0.0215,1238,267,Weekday,19.59,4.2,4.3,2299,-32,-0.09999999999999964
2026-01-05,Eco ensulin,Phrase,1383,26,692.64,1206,1,30.24,26.64,18.65,39.96,57.43,20.0,0.0716,0.0195,1182,31,Weekday,18.65,4.2,4.5,3011,24,-0.2999999999999998
2026-01-05,Eco ensulin,Broad,2034,21,671.37,1206,1,42.55,31.97,22.38,47.95,55.67,20.0,0.0774,0.0104,1160,172,Weekday,22.38,4.2,4.1,4560,46,0.10000000000000053
2026-01-05,Curcumin C3,Exact,2324,34,1026.12,945,1,37.31,30.18,21.13,45.27,108.58,20.0,0.0552,0.0147,977,291,Weekday,21.13,4.5,4.4,3080,-32,0.09999999999999964
2026-01-05,Curcumin C3,Phrase,1821,20,614.4,0,0,32.38,30.72,21.5,46.08,0.0,20.0,0.0451,0.0115,936,110,Weekday,21.5,4.5,4.7,194,9,-0.20000000000000018
2026-01-05,Curcumin C3,Broad,2276,54,794.88,1890,2,18.96,14.72,10.3,22.08,42.06,20.0,0.0412,0.024,897,109,Weekday,10.3,4.5,4.7,4245,48,-0.20000000000000018
2026-01-05,Fruit Drink,Exact,3411,78,1168.44,2400,4,19.74,14.98,10.49,22.47,48.69,20.0,0.0592,0.023,612,55,Weekday,10.49,4.0,3.6,951,-12,0.3999999999999999
2026-01-05,Fruit Drink,Phrase,3642,23,647.45,600,1,34.44,28.15,19.7,42.22,107.91,20.0,0.0584,0.0066,644,167,Weekday,19.7,4.0,3.8,4978,-44,0.20000000000000018
2026-01-05,Fruit Drink,Broad,1615,13,513.37,0,0,42.85,39.49,27.64,59.23,0.0,20.0,0.0535,0.0085,635,86,Weekday,27.64,4.0,4.0,482,-35,0.0
2026-01-06,Aloe vera juice,Exact,1698,14,347.06,0,0,28.08,24.79,17.35,37.19,0.0,20.0,0.0547,0.0085,456,184,Weekday,17.35,3.8,3.6,3031,-7,0.19999999999999973
2026-01-06,Aloe vera juice,Phrase,3505,23,369.84,449,1,21.72,16.08,11.26,24.12,82.37,20.0,0.0464,0.0066,433,58,Weekday,11.26,3.8,3.9,101,16,-0.10000000000000009
2026-01-06,Aloe vera juice,Broad,1263,16,616.64,0,0,42.77,38.54,26.98,57.81,0.0,20.0,0.055,0.0134,499,93,Weekday,26.98,3.8,3.8,2632,-50,0.0
2026-01-06,Graviola,Exact,3118,57,1405.62,1206,2,29.55,24.66,17.26,36.99,116.55,20.0,0.0369,0.0184,572,103,Weekday,17.26,4.0,4.5,390,31,-0.5
2026-01-06,Graviola,Phrase,2257,47,1240.8,1206,2,30.95,26.4,18.48,39.6,102.89,20.0,0.0444,0.0212,567,56,Weekday,18.48,4.0,4.1,1852,36,-0.09999999999999964
2026-01-06,Graviola,Broad,4226,52,1445.08,1206,2,34.12,27.79,19.45,41.69,119.82,20.0,0.0487,0.0125,650,12,Weekday,19.45,4.0,4.3,1553,-47,-0.2999999999999998
2026-01-06,Eco ensulin,Exact,1969,42,1412.46,2390,2,39.38,33.63,23.54,50.45,59.1,20.0,0.0673,0.0217,1188,22,Weekday,23.54,4.2,4.8,873,7,-0.5999999999999996
2026-01-06,Eco ensulin,Phrase,4300,71,2017.82,7170,6,37.84,28.42,19.89,42.63,28.14,20.0,0.0878,0.0167,1173,290,Weekday,20.98,4.2,3.7,4381,22,0.5
2026-01-06,Eco ensulin,Broad,1807,31,449.5,2390,2,16.35,14.5,10.15,21.75,18.81,20.0,0.0756,0.0174,1171,277,Weekday,18.07,4.2,4.3,3407,24,-0.09999999999999964
2026-01-06,Curcumin C3,Exact,2789,59,1657.9,2877,3,34.21,28.1,19.67,42.15,57.63,20.0,0.0515,0.0214,934,289,Weekday,19.67,4.5,4.3,4015,25,0.20000000000000018
2026-01-06,Curcumin C3,Phrase,1543,28,1016.68,959,1,41.11,36.31,25.42,54.47,106.01,20.0,0.0687,0.0186,946,168,Weekday,25.42,4.5,3.5,1181,13,1.0
2026-01-06,Curcumin C3,Broad,1885,34,1025.44,959,1,34.41,30.16,21.11,45.24,106.93,20.0,0.042,0.0182,919,85,Weekday,21.11,4.5,4.7,3976,40,-0.20000000000000018
2026-01-06,Fruit Drink,Exact,3503,69,1186.11,1210,2,18.23,17.19,12.03,25.79,98.03,20.0,0.0303,0.02,568,158,Weekday,12.03,4.0,4.8,4387,37,-0.7999999999999998
2026-01-06,Fruit Drink,Phrase,1460,12,319.8,0,0,29.1,26.65,18.65,39.97,0.0,20.0,0.0558,0.0083,623,115,Weekday,18.65,4.0,3.8,1919,-18,0.20000000000000018
2026-01-06,Fruit Drink,Broad,3814,61,1908.69,1210,2,38.54,31.29,21.9,46.94,157.74,20.0,0.0483,0.0162,648,296,Weekday,21.9,4.0,4.3,4012,-43,-0.2999999999999998
2026-01-07,Aloe vera juice,Exact,3385,76,2218.44,1344,3,39.84,29.19,20.43,43.79,165.06,20.0,0.0403,0.0226,471,74,Weekday,20.43,3.8,4.4,2499,-23,-0.6000000000000005
2026-01-07,Aloe vera juice,Phrase,2343,48,1667.52,448,1,37.36,34.74,24.32,52.11,372.21,20.0,0.0385,0.0206,453,277,Weekday,24.32,3.8,4.4,1325,-5,-0.6000000000000005
2026-01-07,Aloe vera juice,Broad,4200,66,1188.66,1344,3,20.69,18.01,12.61,27.02,88.44,20.0,0.0569,0.0158,477,224,Weekday,12.61,3.8,3.6,2725,-29,0.19999999999999973
2026-01-07,Graviola,Exact,2945,57,1910.07,1800,3,42.37,33.51,23.46,50.27,106.12,20.0,0.0531,0.0194,631,16,Weekday,23.46,4.0,4.0,2664,-31,0.0
2026-01-07,Graviola,Phrase,3261,19,769.12,0,0,43.83,40.48,28.34,60.72,0.0,20.0,0.0452,0.0061,592,298,Weekday,28.34,4.0,4.2,3133,8,-0.20000000000000018
2026-01-07,Graviola,Broad,3420,70,1333.5,1800,3,20.76,19.05,13.33,28.58,74.08,20.0,0.0557,0.0206,597,215,Weekday,13.33,4.0,3.7,2765,3,0.2999999999999998
2026-01-07,Eco ensulin,Exact,1728,31,604.19,2416,2,22.89,19.49,13.64,29.23,25.01,20.0,0.0756,0.0181,1224,27,Weekday,18.26,4.2,4.5,3509,-16,-0.2999999999999998
2026-01-07,Eco ensulin,Phrase,2739,52,1086.28,3624,3,23.23,20.89,14.62,31.34,29.97,20.0,0.0721,0.0191,1189,127,Weekday,17.42,4.2,4.5,1942,19,-0.2999999999999998
2026-01-07,Eco ensulin,Broad,3344,25,388.25,2416,2,18.14,15.53,10.87,23.29,16.07,20.0,0.0809,0.0076,1177,216,Weekday,19.55,4.2,4.0,2321,31,0.20000000000000018
2026-01-07,Curcumin C3,Exact,3284,30,647.7,1918,2,25.49,21.59,15.11,32.38,33.77,20.0,0.0689,0.0094,1008,269,Weekday,15.11,4.5,3.8,3978,-49,0.7000000000000002
2026-01-07,Curcumin C3,Phrase,2728,24,512.64,959,1,30.16,21.36,14.95,32.04,53.46,20.0,0.0456,0.0089,955,171,Weekday,14.95,4.5,4.7,3518,4,-0.20000000000000018
2026-01-07,Curcumin C3,Broad,2730,49,795.27,1918,2,18.72,16.23,11.36,24.34,41.46,20.0,0.0435,0.0182,954,195,Weekday,11.36,4.5,4.8,201,5,-0.2999999999999998
2026-01-07,Fruit Drink,Exact,2048,23,771.42,610,1,36.01,33.54,23.48,50.31,126.46,20.0,0.0505,0.0115,615,59,Weekday,23.48,4.0,4.0,1426,-5,0.0
2026-01-07,Fruit Drink,Phrase,4146,72,2163.6,1830,3,33.3,30.05,21.04,45.08,118.23,20.0,0.0479,0.0174,649,162,Weekday,21.04,4.0,4.3,1703,-39,-0.2999999999999998
2026-01-07,Fruit Drink,Broad,1885,43,1125.74,1220,2,35.22,26.18,18.33,39.27,92.27,20.0,0.0497,0.0232,647,7,Weekday,18.33,4.0,4.2,3768,-37,-0.20000000000000018
2026-01-08,Aloe vera juice,Exact,2748,46,537.74,449,1,15.4,11.69,8.18,17.54,119.76,20.0,0.0318,0.0171,467,6,Weekday,8.18,3.8,4.8,1081,-18,-1.0
2026-01-08,Aloe vera juice,Phrase,2908,64,2031.36,1347,3,34.43,31.74,22.22,47.61,150.81,20.0,0.0484,0.0221,413,79,Weekday,22.22,3.8,3.7,1886,36,0.09999999999999964
2026-01-08,Aloe vera juice,Broad,1691,31,745.24,449,1,34.24,24.04,16.83,36.06,165.98,20.0,0.0441,0.0188,470,241,Weekday,16.83,3.8,4.2,3439,-21,-0.40000000000000036
2026-01-08,Graviola,Exact,1444,9,160.29,0,0,21.0,17.81,12.47,26.71,0.0,20.0,0.0413,0.0068,589,280,Weekday,12.47,4.0,4.4,2187,7,-0.40000000000000036
2026-01-08,Graviola,Phrase,3545,28,669.2,596,1,26.11,23.9,16.73,35.85,112.28,20.0,0.0358,0.0081,554,196,Weekday,16.73,4.0,4.5,4751,42,-0.5
2026-01-08,Graviola,Broad,4116,85,2778.65,1788,3,41.44,32.69,22.88,49.03,155.41,20.0,0.0468,0.0208,584,269,Weekday,22.88,4.0,4.1,1550,12,-0.09999999999999964
2026-01-08,Eco ensulin,Exact,1892,23,874.46,1194,1,44.97,38.02,26.61,57.03,73.24,20.0,0.0844,0.0124,1178,170,Weekday,26.61,4.2,3.9,3521,16,0.30000000000000027
2026-01-08,Eco ensulin,Phrase,2486,27,632.07,2388,2,28.72,23.41,16.39,35.12,26.47,20.0,0.0901,0.0112,1195,34,Weekday,21.52,4.2,3.7,4323,-1,0.5
2026-01-08,Eco ensulin,Broad,3915,32,1141.76,2388,2,42.01,35.68,24.98,53.52,47.81,20.0,0.0829,0.0083,1223,27,Weekday,24.98,4.2,4.2,2406,-29,0.0
2026-01-08,Curcumin C3,Exact,3976,27,454.95,951,1,19.75,16.85,11.79,25.28,47.84,20.0,0.0495,0.0069,946,131,Weekday,11.79,4.5,4.5,2541,5,0.0
2026-01-08,Curcumin C3,Phrase,3075,54,1286.28,1902,2,29.91,23.82,16.67,35.73,67.63,20.0,0.0466,0.0177,917,165,Weekday,16.67,4.5,4.5,2259,34,0.0
2026-01-08,Curcumin C3,Broad,2216,47,1339.03,2853,3,35.89,28.49,19.94,42.73,46.93,20.0,0.0648,0.0215,999,254,Weekday,19.94,4.5,4.0,4824,-48,0.5
2026-01-08,Fruit Drink,Exact,3201,54,1658.34,1182,2,36.37,30.71,21.5,46.06,140.3,20.0,0.0455,0.0171,606,110,Weekday,21.5,4.0,4.3,2794,-15,-0.2999999999999998
2026-01-08,Fruit Drink,Phrase,3035,56,854.0,1773,3,16.53,15.25,10.67,22.88,48.17,20.0,0.0586,0.0186,597,246,Weekday,10.67,4.0,3.6,4085,-6,0.3999999999999999
2026-01-08,Fruit Drink,Broad,2735,50,1638.5,1182,2,40.38,32.77,22.94,49.16,138.62,20.0,0.0432,0.0186,603,297,Weekday,22.94,4.0,4.4,3865,-12,-0.40000000000000036
2026-01-09,Aloe vera juice,Exact,1476,21,262.08,0,0,15.11,12.48,8.74,18.72,0.0,20.0,0.0441,0.0145,490,218,Weekday,8.74,3.8,4.3,2849,-41,-0.5
2026-01-09,Aloe vera juice,Phrase,2419,33,421.08,449,1,15.53,12.76,8.93,19.14,93.78,20.0,0.057,0.0137,499,246,Weekday,8.93,3.8,3.7,4262,-50,0.09999999999999964
2026-01-09,Aloe vera juice,Broad,3923,54,927.18,449,1,23.29,17.17,12.02,25.76,206.5,20.0,0.0355,0.0138,464,17,Weekday,12.02,3.8,4.6,1197,-15,-0.7999999999999998
2026-01-09,Graviola,Exact,3644,65,2229.5,1188,2,36.55,34.3,24.01,51.45,187.67,20.0,0.045,0.0179,644,237,Weekday,24.01,4.0,4.5,1001,-50,-0.5
2026-01-09,Graviola,Phrase,1724,31,701.84,594,1,25.9,22.64,15.85,33.96,118.15,20.0,0.058,0.018,634,277,Weekday,15.85,4.0,3.8,3270,-40,0.20000000000000018
2026-01-09,Graviola,Broad,2728,60,1162.2,1782,3,20.68,19.37,13.56,29.05,65.22,20.0,0.06,0.0221,594,278,Weekday,13.56,4.0,3.5,1349,0,0.5
2026-01-09,Eco ensulin,Exact,1262,11,275.55,0,0,27.88,25.05,17.54,37.58,0.0,20.0,0.0667,0.0093,1176,271,Weekday,17.54,4.2,4.7,4074,33,-0.5
2026-01-09,Eco ensulin,Phrase,4788,107,2750.97,9672,8,27.51,25.71,18.0,38.56,28.44,20.0,0.0819,0.0225,1188,83,Weekday,19.8,4.2,4.0,224,21,0.20000000000000018
2026-01-09,Eco ensulin,Broad,2317,29,497.06,2418,2,18.87,17.14,12.0,25.71,20.56,20.0,0.0919,0.0125,1188,22,Weekday,22.22,4.2,3.5,2903,21,0.7000000000000002
2026-01-09,Curcumin C3,Exact,1279,15,349.2,0,0,29.42,23.28,16.3,34.92,0.0,20.0,0.063,0.0123,902,177,Weekday,16.3,4.5,3.6,2626,50,0.8999999999999999
2026-01-09,Curcumin C3,Phrase,1714,11,350.24,0,0,33.98,31.84,22.29,47.76,0.0,20.0,0.0519,0.0067,991,126,Weekday,22.29,4.5,4.6,2175,-39,-0.09999999999999964
2026-01-09,Curcumin C3,Broad,1970,28,492.52,952,1,23.8,17.59,12.31,26.38,51.74,20.0,0.0523,0.0147,995,10,Weekday,12.31,4.5,4.6,3562,-43,-0.09999999999999964
2026-01-09,Fruit Drink,Exact,1910,31,557.07,596,1,19.61,17.97,12.58,26.95,93.47,20.0,0.0416,0.0163,572,166,Weekday,12.58,4.0,4.3,3745,24,-0.2999999999999998
2026-01-09,Fruit Drink,Phrase,2114,16,252.64,0,0,17.77,15.79,11.05,23.68,0.0,20.0,0.0527,0.0078,563,294,Weekday,11.05,4.0,3.7,4277,33,0.2999999999999998
